Age,ProvinceTerritory,GenderIdentity,OnlineContact_LargeFriendGroup,Intervene_MorallyWrong,OverallMentalHealth,CyberBullying_Frequency
18,Alberta,Boy,At least every week,Somewhat disagree,Good,once or twice
15,Quebec,Girl,At least every week,Agree,Very good,Never
18,Alberta,Girl,Daily or almost daily,Agree,Poor,Never
18,British Columbia,Girl,Never or almost never,Agree,Poor,once or twice
18,Manitoba,Girl,Don't know/doesn't apply,Somewhat agree,Poor,Never
15,Alberta,Boy,Several times each day,Agree,Very good,Never
12,Quebec,Boy,At least every week,Prefer not to say,Excellent,Never
17,British Columbia,Girl,Daily or almost daily,Agree,Good,once or twice
18,British Columbia,Boy,Daily or almost daily,Somewhat disagree,Excellent,once or twice
13,British Columbia,Girl,Daily or almost daily,Somewhat agree,Very good,once or twice
15,British Columbia,Girl,Daily or almost daily,Somewhat agree,Excellent,Never
12,British Columbia,Boy,Don't know/doesn't apply,Somewhat agree,Very good,Never
14,British Columbia,Boy,Daily or almost daily,Agree,Fair,once or twice
18,British Columbia,Boy,Never or almost never,Agree,Good,Never
14,Nova Scotia,Girl,Several times each day,Disagree,Good,More than four times
18,Manitoba,Girl,Never or almost never,Agree,Fair,once or twice
15,Alberta,Girl,Never or almost never,Agree,Fair,Never
13,British Columbia,Boy,Never or almost never,Agree,Very good,once or twice
15,British Columbia,Boy,Several times each day,Agree,Excellent,More than four times
13,Alberta,Girl,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say
14,Alberta,Boy,Several times each day,Agree,Fair,once or twice
15,Newfoundland and Labrador,Girl,Several times each day,Agree,Very good,Never
12,British Columbia,Girl,At least every week,Agree,Good,Never
18,Newfoundland and Labrador,Girl,Daily or almost daily,Agree,Good,once or twice
18,New Brunswick,Girl,Never or almost never,Somewhat agree,Good,Never
16,British Columbia,Boy,Never or almost never,Agree,Very good,Never
16,Nova Scotia,Girl,At least every week,Agree,Very good,Never
16,Nova Scotia,Girl,At least every week,Somewhat agree,Very good,once or twice
18,British Columbia,Girl,At least every week,Somewhat agree,Poor,Three or four times
